CONTROL,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building,Main Building
INTERVAL,Apt 14 N,Apt 14 O,Apt 14 Q,Apt 14P,Apt 14R,Apt 18A,Apt 18E,Apt 18I,OUTDOOR SENSOR,System Temp MB
11/29/2012 0:00,76,78,67,75,77,76,76,75,36,147
11/29/2012 0:05,76,78,67,75,77,76,76,75,36,147
11/29/2012 0:10,76,78,67,75,77,No Data,76,75,36,147
11/29/2012 0:15,76,78,67,75,77,No Data,76,75,36,147
11/29/2012 0:20,76,78,67,75,77,No Data,76,75,36,148
11/29/2012 0:25,76,78,67,75,77,76,76,75,36,148
11/29/2012 0:30,76,78,67,75,77,76,76,75,36,148
11/29/2012 0:35,76,78,67,75,77,76,76,75,36,149
11/29/2012 0:40,76,78,67,75,77,76,76,75,36,149
11/29/2012 0:45,76,78,67,75,77,76,76,75,36,149
11/29/2012 0:50,76,78,67,75,77,76,76,75,36,149
11/29/2012 0:55,76,78,67,75,77,76,76,75,36,149
11/29/2012 1:00,76,78,67,75,77,76,76,75,36,149
11/29/2012 1:05,76,78,67,75,77,76,76,75,36,149
11/29/2012 1:10,76,78,67,75,77,76,76,75,36,150
11/29/2012 1:15,76,78,67,75,77,76,76,75,36,149
11/29/2012 1:20,76,78,67,75,77,76,76,75,36,149
11/29/2012 1:25,76,78,67,75,77,76,76,75,36,149
11/29/2012 1:30,76,78,67,75,77,76,76,75,36,149
11/29/2012 1:35,76,78,67,75,77,76,76,75,36,149
11/29/2012 1:40,76,78,67,75,77,76,76,75,36,149
11/29/2012 1:45,76,78,67,75,77,76,76,75,36,149
11/29/2012 1:50,76,78,67,75,77,76,76,75,36,150
11/29/2012 1:55,76,78,67,75,77,76,76,75,36,150
11/29/2012 2:00,76,78,67,75,77,76,76,75,36,150
11/29/2012 2:05,76,78,67,75,77,76,76,75,36,150
11/29/2012 2:10,76,78,67,75,77,76,76,75,36,150
11/29/2012 2:15,76,78,67,75,77,76,76,75,36,150
11/29/2012 2:20,76,78,67,75,77,76,76,75,36,150
11/29/2012 2:25,76,78,67,75,77,76,76,75,36,150
11/29/2012 2:30,76,78,67,75,77,76,76,75,36,151
11/29/2012 2:35,76,78,67,75,77,76,76,75,36,151
11/29/2012 2:40,76,78,67,75,77,76,76,75,36,151
11/29/2012 2:45,76,78,67,75,77,76,76,75,36,151
11/29/2012 2:50,76,78,67,75,77,76,76,75,36,151
11/29/2012 2:55,76,78,67,75,77,76,76,75,36,151
11/29/2012 3:00,76,78,67,75,77,76,76,75,35,151
11/29/2012 3:05,76,78,67,75,77,76,76,75,35,151
11/29/2012 3:10,76,78,67,75,77,76,76,75,35,151
11/29/2012 3:15,76,78,67,75,77,76,76,75,35,151
11/29/2012 3:20,76,78,67,75,77,76,76,75,35,151
11/29/2012 3:25,76,78,67,75,77,76,76,75,35,151
11/29/2012 3:30,76,78,67,75,77,76,76,75,35,151
11/29/2012 3:35,76,78,67,75,77,76,76,75,35,151
11/29/2012 3:40,76,78,67,75,77,76,76,75,35,151
11/29/2012 3:45,76,78,67,75,77,76,76,76,35,151
11/29/2012 3:50,76,78,67,75,77,76,76,76,35,151
11/29/2012 3:55,76,78,67,75,77,76,76,76,35,151
11/29/2012 4:00,76,78,67,75,77,76,76,76,35,151
11/29/2012 4:05,76,78,67,75,77,76,76,76,35,151
11/29/2012 4:10,76,78,67,75,77,76,76,76,35,152
11/29/2012 4:15,76,78,67,75,77,76,76,76,35,151
11/29/2012 4:20,76,78,67,75,77,76,76,76,35,151
11/29/2012 4:25,76,78,67,75,77,76,76,76,35,150
11/29/2012 4:30,76,78,67,75,77,76,76,76,36,149
11/29/2012 4:35,76,78,67,75,77,76,76,76,36,148
11/29/2012 4:40,76,78,67,75,77,76,76,76,36,147
11/29/2012 4:45,76,78,67,75,77,76,76,76,36,146
11/29/2012 4:50,76,78,67,75,77,76,76,76,35,145
11/29/2012 4:55,76,78,67,75,77,76,76,76,35,144
11/29/2012 5:00,76,78,67,75,77,76,76,76,35,141
11/29/2012 5:05,76,78,67,75,77,76,76,76,35,141
11/29/2012 5:10,76,78,67,75,77,No Data,76,76,35,140
11/29/2012 5:15,76,78,67,75,77,No Data,76,76,35,140
11/29/2012 5:20,76,78,67,75,77,No Data,76,76,35,140
11/29/2012 5:25,76,78,67,75,77,76,76,76,35,140
11/29/2012 5:30,76,78,67,75,77,76,76,76,36,140
11/29/2012 5:35,76,78,67,75,77,76,76,76,36,140
11/29/2012 5:40,76,78,67,75,77,76,76,76,36,140
11/29/2012 5:45,76,78,67,75,77,76,76,76,36,141
11/29/2012 5:50,76,78,67,75,77,76,76,76,36,141
